learning.rate,dropout,filters_0,filters_end,kernel_size_0,kernel_size_end,max_pool_end,number_of_cnn_layers,conv_block_count,dilation_end,dense_layer_num,dense_layer_units,batch_norm_momentum,leaky_relu_alpha,dense_activation,optimizer,reverse_encoding,skip_block_fraction,maxlen,residual_block,num_targets,model_type,runid,recurrent_type,recurrent_layers,recurrent_bidirectional,recurrent_units,desc
0.000235429295303977,0.328812709454607,512.703824960101,36.8698222863511,3.72530572463796,23.4049252094435,11.9798628814225,6,6,2.38305276536961,1,92,0.671880221340915,0.437776577417227,tanh,adam,TRUE,0.649567914729326,150,FALSE,3,gap,1,,,,,median-of-9_2hr_gap_len_150
0.000206747791807456,0.089564168820004,452.568364572743,115.25368398633,3.33533220920438,31.8586978827329,15.7141851255643,9,7,2.91302342978294,1,389,0.875018033297159,0.0757738797289662,relu,adam,TRUE,0.727638327165896,150,FALSE,3,gap,1,,,,,median-of-9_6hr_gap_len_150
0.000209867474301904,0.217632317561143,470.712986463133,80.9577789386104,2.95888429015927,28.1386649454798,12.8864174630715,9,7,2.41422726958117,1,332,0.434283491428603,0.0649944400466681,relu,adam,TRUE,0.499799188822531,150,FALSE,3,gap,1,,,,,median-of-9_20hr_gap_len_150
0.000258587350368888,0.327324414016147,367.83268960376,901.96724900766,2.63165880668659,7.62389942774901,13.1207788925257,4,4,1.91869554553999,0,1014,0.47294713291096,0.275902714739039,tanh,adam,TRUE,,150,FALSE,3,recurrent,3,lstm,3,TRUE,22,median-of-9_2hr_recurrent_len_150
0.00140732985049823,0.212551758554064,383.581896202385,57.7741728077419,6.05173030032526,47.0721304798156,12.8837417792443,3,4,3.30077527799311,0,33,0.198980281192521,0.0323412264050478,relu,adam,TRUE,,150,TRUE,3,recurrent,4,lstm,1,TRUE,56,median-of-9_6hr_recurrent_len_150
0.000536981684890942,0.133581328919004,213.867854106226,83.1793385768618,4.09436276828999,32.9839983494739,8.42309509706868,8,5,3.79745540284723,1,454,0.346841094076418,0.0824367914434434,relu,adam,TRUE,,150,TRUE,3,recurrent,4,lstm,1,TRUE,63,median-of-9_20hr_recurrent_len_150
0.000240805352168892,0.153262954898697,145.820288410742,471.16624223532,17.3846013293211,2.73960028285511,111.58202943902,5,6,21.967187759686,3,308,0.852309271082465,0.876275755661185,relu,adam,FALSE,0.654007632896078,10000,FALSE,3,gap,5,,,,,median-of-9_2hr_gap_len_10000
0.000225782031723176,0.169107249809187,114.209805279994,134.854300705546,13.4865781569634,2.78090043757735,93.6656263368199,5,7,10.4298381460715,2,452,0.852881522219566,0.801843004017471,relu,adam,TRUE,0.519061801330223,10000,FALSE,3,gap,5,,,,,median-of-9_6hr_gap_len_10000
0.000169435599521922,0.148003674090263,115.06026250766,99.5382022153874,3.01805910624982,6.28989728015308,35.6516930944249,16,5,36.0507073605382,1,283,0.648465659582593,0.296091552791288,relu,adam,FALSE,0.355362393961469,10000,TRUE,3,gap,6,,,,,median-of-9_20hr_gap_len_10000
0.000190787580222342,0.344777691785233,72.5726290628421,568.986955470093,4.07416752910277,3.57233671605599,115.416903622864,2,9,5.69601160556809,1,118,0.1638843536214,0.801984666808865,tanh,adam,TRUE,,10000,TRUE,3,recurrent,8,lstm,1,TRUE,452,median-of-9_2hr_recurrent_len_10000
0.000434846151573256,0.673508601044866,679.940680586279,140.826792546604,17.5372728910204,29.5052032068173,97.7951704542161,1,9,34.2171948568847,0,73,0.180144598165224,0.338334212372441,tanh,adam,FALSE,,10000,TRUE,3,recurrent,8,lstm,1,FALSE,23,median-of-9_6hr_recurrent_len_10000
5.24540455675174e-05,0.36364954016579,946.264472438748,155.781538670436,17.3627683638928,16.7661782966165,116.902607645909,1,8,5.55601509622166,1,261,0.616105535348372,0.471276523154347,tanh,adam,FALSE,,10000,TRUE,3,recurrent,8,lstm,2,FALSE,173,median-of-9_20hr_recurrent_len_10000
